Index: 101, QuestionNumber: q1, rsid: rs880315
Index: 102, QuestionNumber: q2, rsid: rs796052984
Index: 103, QuestionNumber: q3, rsid: rs34637584
Index: 104, QuestionNumber: q4, rsid: rs80356821
Index: 105, QuestionNumber: q5, rsid: rs886042528
Index: 106, QuestionNumber: q6, rsid: rs763684724
Index: 107, QuestionNumber: q7, rsid: rs571414497
Index: 108, QuestionNumber: q8, rsid: rs1057519999
Index: 109, QuestionNumber: q9, rsid: rs34637584
Index: 110, QuestionNumber: q10, rsid: rs1170153450
Index: 111, QuestionNumber: q11, rsid: rs886042528
Index: 112, QuestionNumber: q12, rsid: rs794726784
Index: 113, QuestionNumber: q13, rsid: rs431905511
Index: 114, QuestionNumber: q14, rsid: rs745774658
Index: 115, QuestionNumber: q15, rsid: rs1489788269
Index: 116, QuestionNumber: q16, rsid: rs12037987
Index: 117, QuestionNumber: q17, rsid: rs763684724
Index: 118, QuestionNumber: q18, rsid: rs794726784
Index: 119, QuestionNumber: q19, rsid: rs80356821
Index: 120, QuestionNumber: q20, rsid: rs794727152
Index: 121, QuestionNumber: q21, rsid: rs763684724
Index: 122, QuestionNumber: q22, rsid: rs762927460
Index: 123, QuestionNumber: q23, rsid: rs1201448391
Index: 124, QuestionNumber: q24, rsid: rs34637584
Index: 125, QuestionNumber: q25, rsid: rs880315
Index: 126, QuestionNumber: q26, rsid: rs80356821
Index: 127, QuestionNumber: q27, rsid: rs113488022
Index: 128, QuestionNumber: q28, rsid: rs1201448391
Index: 129, QuestionNumber: q29, rsid: rs113488022
Index: 130, QuestionNumber: q30, rsid: rs796053216
Index: 131, QuestionNumber: q31, rsid: rs431905511
Index: 132, QuestionNumber: q32, rsid: rs1208662086
Index: 133, QuestionNumber: q33, rsid: rs794726784
Index: 134, QuestionNumber: q34, rsid: rs113488022
Index: 135, QuestionNumber: q35, rsid: rs794727152
Index: 136, QuestionNumber: q36, rsid: rs1489788269
Index: 137, QuestionNumber: q37, rsid: rs1201448391
Index: 138, QuestionNumber: q38, rsid: rs796053229
Index: 139, QuestionNumber: q39, rsid: rs571414497
Index: 140, QuestionNumber: q40, rsid: rs880315
Index: 141, QuestionNumber: q41, rsid: rs796052984
Index: 142, QuestionNumber: q42, rsid: rs796053166
Index: 143, QuestionNumber: q43, rsid: rs121913279
Index: 144, QuestionNumber: q44, rsid: rs763684724
Index: 145, QuestionNumber: q45, rsid: rs1208662086
Index: 146, QuestionNumber: q46, rsid: rs763684724
Index: 147, QuestionNumber: q47, rsid: rs796053166
Index: 148, QuestionNumber: q48, rsid: rs762927460
Index: 149, QuestionNumber: q49, rsid: rs121918719
Index: 150, QuestionNumber: q50, rsid: rs796052984
